id,trait
humearly_EPI_ISL_1997070,human
humlate_EPI_ISL_6902891,human
humearly_EPI_ISL_17113567,human
humearly_EPI_ISL_1838270,human
humlate_EPI_ISL_6655382,human
humearly_EPI_ISL_1737875,human
humlate_EPI_ISL_11043498,human
humearly_EPI_ISL_1837707,human
humearly_EPI_ISL_1835509,human
humlate_EPI_ISL_7934461,human
humearly_EPI_ISL_1837230,human
humearly_EPI_ISL_6782130,human
humlate_EPI_ISL_7175066,human
humearly_EPI_ISL_1908511,human
humlate_EPI_ISL_7781661,human
humearly_EPI_ISL_1834669,human
humearly_EPI_ISL_1681001,human
humearly_EPI_ISL_9540124,human
humearly_EPI_ISL_2081083,human
humearly_EPI_ISL_1921042,human
humearly_EPI_ISL_1681113,human
humearly_EPI_ISL_2151817,human
humearly_EPI_ISL_1736369,human
humearly_EPI_ISL_1836634,human
humearly_EPI_ISL_1836341,human
humlate_EPI_ISL_6755330,human
humlate_EPI_ISL_6899098,human
humlate_EPI_ISL_7175017,human
humlate_EPI_ISL_7434650,human
humlate_EPI_ISL_7691777,human
humearly_EPI_ISL_1707685,human
humearly_EPI_ISL_1667205,human
humearly_EPI_ISL_2738395,human
humearly_EPI_ISL_1680962,human
humlate_EPI_ISL_6654729,human
humlate_EPI_ISL_7247970,human
humearly_EPI_ISL_11972390,human
humearly_EPI_ISL_1797125,human
humearly_EPI_ISL_4300661,human
humlate_EPI_ISL_7655129,human
humlate_EPI_ISL_7247319,human
humearly_EPI_ISL_2383078,human
humearly_EPI_ISL_4364048,human
humearly_EPI_ISL_1635595,human
humlate_EPI_ISL_7802230,human
humearly_EPI_ISL_2013372,human
humearly_EPI_ISL_1624146,human
humearly_EPI_ISL_1735652,human
humearly_EPI_ISL_1756002,human
humlate_EPI_ISL_7502646,human
humlate_EPI_ISL_11892191,human
humearly_EPI_ISL_1996943,human
humearly_EPI_ISL_1797172,human
humlate_EPI_ISL_7125298,human
humearly_EPI_ISL_1837903,human
humlate_EPI_ISL_7332755,human
humlate_EPI_ISL_7933931,human
humearly_EPI_ISL_1834457,human
humearly_EPI_ISL_1797208,human
humearly_EPI_ISL_1735634,human
humearly_EPI_ISL_4364628,human
humearly_EPI_ISL_1669134,human
humearly_EPI_ISL_1543175,human
humearly_EPI_ISL_1734504,human
humearly_EPI_ISL_3536785,human
deer_EPI_ISL_16372331,deer
humearly_EPI_ISL_5978064,human
humearly_EPI_ISL_1799278,human
humearly_EPI_ISL_1736768,human
humearly_EPI_ISL_1995022,human
humlate_EPI_ISL_7373782,human
humearly_EPI_ISL_1680007,human
humearly_EPI_ISL_1805304,human
humlate_EPI_ISL_6906169,human
humlate_EPI_ISL_7174560,human
humearly_EPI_ISL_1736477,human
humearly_EPI_ISL_4363535,human
humearly_EPI_ISL_13674864,human
humlate_EPI_ISL_7254267,human
humearly_EPI_ISL_1735386,human
humlate_EPI_ISL_7126225,human
humearly_EPI_ISL_2246669,human
humlate_EPI_ISL_8210322,human
humearly_EPI_ISL_1794219,human
humearly_EPI_ISL_1702595,human
humearly_EPI_ISL_1825704,human
humearly_EPI_ISL_1702597,human
humearly_EPI_ISL_1679386,human
